SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,CATEGORY,TARGET_LABEL,CCR_2015,CCR_2016,CCR_2017,CCR_2018,CCR_2019,CCR_2020,TARGET_LABEL_SORT,COOP,COOP_CODE
20152016,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,Delivery Target,Delivery Target,,59.7,64.2,,,,1,GRREC,902
20152016,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,Delivery Target,Actual Score,55.2,67.3,,,,,2,GRREC,902
20152016,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,Delivery Target,Met Target,,Yes,,,,,3,GRREC,902
20152016,001,ADAIR,001,Adair County,,---District Total---,001,,,Delivery Target,Delivery Target,,59.7,64.2,,,,1,GRREC,902
20152016,001,ADAIR,001,Adair County,,---District Total---,001,,,Delivery Target,Actual Score,55.2,67.3,,,,,2,GRREC,902
20152016,001,ADAIR,001,Adair County,,---District Total---,001,,,Delivery Target,Met Target,,Yes,,,,,3,GRREC,902
20152016,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,Delivery Target,Delivery Target,,55.7,60.6,,,,1,GRREC,902
20152016,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,Delivery Target,Actual Score,50.8,67.3,,,,,2,GRREC,902
20152016,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,Delivery Target,Met Target,,Yes,,,,,3,GRREC,902
20152016,002,ALLEN,005,Allen County,,---District Total---,005,,,Delivery Target,Delivery Target,,55.7,60.6,,,,1,GRREC,902
20152016,002,ALLEN,005,Allen County,,---District Total---,005,,,Delivery Target,Actual Score,50.8,67.3,,,,,2,GRREC,902
20152016,002,ALLEN,005,Allen County,,---District Total---,005,,,Delivery Target,Met Target,,Yes,,,,,3,GRREC,902
20152016,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,Delivery Target,Delivery Target,,70.9,74.2,,,,1,CKEC,901
20152016,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,Delivery Target,Actual Score,67.7,70.6,,,,,2,CKEC,901
20152016,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,Delivery Target,Met Target,,No,,,,,3,CKEC,901
20152016,003,ANDERSON,011,Anderson County,,---District Total---,011,,,Delivery Target,Delivery Target,,70.9,74.2,,,,1,CKEC,901
20152016,003,ANDERSON,011,Anderson County,,---District Total---,011,,,Delivery Target,Actual Score,67.7,70.3,,,,,2,CKEC,901
20152016,003,ANDERSON,011,Anderson County,,---District Total---,011,,,Delivery Target,Met Target,,No,,,,,3,CKEC,901
20152016,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,Delivery Target,Delivery Target,,79.1,81.4,,,,1,KEDC,903
20152016,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,Delivery Target,Actual Score,76.8,63.2,,,,,2,KEDC,903
20152016,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,Delivery Target,Met Target,,No,,,,,3,KEDC,903
20152016,010,BOYD,012,Ashland Independent,,---District Total---,012,,,Delivery Target,Delivery Target,,79.1,81.4,,,,1,KEDC,903
20152016,010,BOYD,012,Ashland Independent,,---District Total---,012,,,Delivery Target,Actual Score,76.8,63.2,,,,,2,KEDC,903
20152016,010,BOYD,012,Ashland Independent,,---District Total---,012,,,Delivery Target,Met Target,,No,,,,,3,KEDC,903
20152016,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,Delivery Target,Delivery Target,,61.4,65.7,,,,1,KEDC,903
20152016,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,Delivery Target,Actual Score,57.1,62.5,,,,,2,KEDC,903
20152016,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,Delivery Target,Met Target,,Yes,,,,,3,KEDC,903
20152016,012,BRACKEN,013,Augusta Independent,,---District Total---,013,,,Delivery Target,Delivery Target,,61.4,65.7,,,,1,KEDC,903
20152016,012,BRACKEN,013,Augusta Independent,,---District Total---,013,,,Delivery Target,Actual Score,57.1,62.5,,,,,2,KEDC,903
20152016,012,BRACKEN,013,Augusta Independent,,---District Total---,013,,,Delivery Target,Met Target,,Yes,,,,,3,KEDC,903
20152016,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,Delivery Target,Delivery Target,,83.0,84.9,,,,1,WKEC,908
20152016,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,Delivery Target,Actual Score,81.1,86.7,,,,,2,WKEC,908
20152016,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,Delivery Target,Met Target,,Yes,,,,,3,WKEC,908
20152016,004,BALLARD,015,Ballard County,,---District Total---,015,,,Delivery Target,Delivery Target,,83.0,84.9,,,,1,WKEC,908
20152016,004,BALLARD,015,Ballard County,,---District Total---,015,,,Delivery Target,Actual Score,81.1,86.7,,,,,2,WKEC,908
20152016,004,BALLARD,015,Ballard County,,---District Total---,015,,,Delivery Target,Met Target,,Yes,,,,,3,WKEC,908
20152016,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,Delivery Target,Delivery Target,,75.4,78.2,,,,1,SESC,907
20152016,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,Delivery Target,Actual Score,72.7,75.6,,,,,2,SESC,907
20152016,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,Delivery Target,Met Target,,Yes,,,,,3,SESC,907
20152016,061,KNOX,016,Barbourville Independent,,---District Total---,016,,,Delivery Target,Delivery Target,,75.4,78.2,,,,1,SESC,907
20152016,061,KNOX,016,Barbourville Independent,,---District Total---,016,,,Delivery Target,Actual Score,72.7,75.6,,,,,2,SESC,907
20152016,061,KNOX,016,Barbourville Independent,,---District Total---,016,,,Delivery Target,Met Target,,Yes,,,,,3,SESC,907
20152016,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,Delivery Target,Delivery Target,,67.2,70.8,,,,1,CKEC,901
