UnitID,Institution Name,Grand total (C2015_A  First major  Grand total  Associate's degree),Grand total men (C2015_A  First major  Grand total  Associate's degree),Grand total women (C2015_A  First major  Grand total  Associate's degree),Asian total (C2015_A  First major  Grand total  Associate's degree),Hispanic or Latino total (C2015_A  First major  Grand total  Associate's degree),White total (C2015_A  First major  Grand total  Associate's degree),Black or African American total (C2015_A  First major  Grand total  Associate's degree),Grand total (C2015_A  First major  Grand total  Bachelor's degree),Grand total men (C2015_A  First major  Grand total  Bachelor's degree),Grand total women (C2015_A  First major  Grand total  Bachelor's degree),Asian total (C2015_A  First major  Grand total  Bachelor's degree),Hispanic or Latino total (C2015_A  First major  Grand total  Bachelor's degree),White total (C2015_A  First major  Grand total  Bachelor's degree),Black or African American total (C2015_A  First major  Grand total  Bachelor's degree),Grand total (C2014_A  First major  Grand total  Associate's degree),Grand total men (C2014_A  First major  Grand total  Associate's degree),Grand total women (C2014_A  First major  Grand total  Associate's degree),Asian total (C2014_A  First major  Grand total  Associate's degree),Hispanic or Latino total (C2014_A  First major  Grand total  Associate's degree),White total (C2014_A  First major  Grand total  Associate's degree),Black or African American total (C2014_A  First major  Grand total  Associate's degree),Grand total (C2014_A  First major  Grand total  Bachelor's degree),Grand total men (C2014_A  First major  Grand total  Bachelor's degree),Grand total women (C2014_A  First major  Grand total  Bachelor's degree),Asian total (C2014_A  First major  Grand total  Bachelor's degree),Hispanic or Latino total (C2014_A  First major  Grand total  Bachelor's degree),White total (C2014_A  First major  Grand total  Bachelor's degree),Black or African American total (C2014_A  First major  Grand total  Bachelor's degree),Grand total (C2013_A  First major  Grand total  Associate's degree),Grand total men (C2013_A  First major  Grand total  Associate's degree),Grand total women (C2013_A  First major  Grand total  Associate's degree),Asian total (C2013_A  First major  Grand total  Associate's degree),Hispanic or Latino total (C2013_A  First major  Grand total  Associate's degree),White total (C2013_A  First major  Grand total  Associate's degree),Black or African American total (C2013_A  First major  Grand total  Associate's degree),Grand total (C2013_A  First major  Grand total  Bachelor's degree),Grand total men (C2013_A  First major  Grand total  Bachelor's degree),Grand total women (C2013_A  First major  Grand total  Bachelor's degree),Asian total (C2013_A  First major  Grand total  Bachelor's degree),Hispanic or Latino total (C2013_A  First major  Grand total  Bachelor's degree),White total (C2013_A  First major  Grand total  Bachelor's degree),Black or African American total (C2013_A  First major  Grand total  Bachelor's degree),Grand total (C2012_A  First major  Grand total  Associate's degree),Grand total men (C2012_A  First major  Grand total  Associate's degree),Grand total women (C2012_A  First major  Grand total  Associate's degree),Asian total (C2012_A  First major  Grand total  Associate's degree),Hispanic or Latino total (C2012_A  First major  Grand total  Associate's degree),White total (C2012_A  First major  Grand total  Associate's degree),Black or African American total (C2012_A  First major  Grand total  Associate's degree),Grand total (C2012_A  First major  Grand total  Bachelor's degree),Grand total men (C2012_A  First major  Grand total  Bachelor's degree),Grand total women (C2012_A  First major  Grand total  Bachelor's degree),Asian total (C2012_A  First major  Grand total  Bachelor's degree),Hispanic or Latino total (C2012_A  First major  Grand total  Bachelor's degree),White total (C2012_A  First major  Grand total  Bachelor's degree),Black or African American total (C2012_A  First major  Grand total  Bachelor's degree),Grand total (C2011_A  First major  Grand total  Associate's degree),Grand total men (C2011_A  First major  Grand total  Associate's degree),Grand total women (C2011_A  First major  Grand total  Associate's degree),Asian total (C2011_A  First major  Grand total  Associate's degree),Hispanic or Latino total (C2011_A  First major  Grand total  Associate's degree),White total (C2011_A  First major  Grand total  Associate's degree),Black or African American total (C2011_A  First major  Grand total  Associate's degree),Grand total (C2011_A  First major  Grand total  Bachelor's degree),Grand total men (C2011_A  First major  Grand total  Bachelor's degree),Grand total women (C2011_A  First major  Grand total  Bachelor's degree),Asian total (C2011_A  First major  Grand total  Bachelor's degree),Hispanic or Latino total (C2011_A  First major  Grand total  Bachelor's degree),White total (C2011_A  First major  Grand total  Bachelor's degree),Black or African American total (C2011_A  First major  Grand total  Bachelor's degree),Grand total (C2010_A  First major  Grand total  Associate's degree),Grand total men (C2010_A  First major  Grand total  Associate's degree),Grand total women (C2010_A  First major  Grand total  Associate's degree),Asian total - new (C2010_A  First major  Grand total  Associate's degree),Black or African American total - new (C2010_A  First major  Grand total  Associate's degree),Hispanic or Latino total - new (C2010_A  First major  Grand total  Associate's degree),White total - new (C2010_A  First major  Grand total  Associate's degree),Grand total (C2010_A  First major  Grand total  Bachelor's degree),Grand total men (C2010_A  First major  Grand total  Bachelor's degree),Grand total women (C2010_A  First major  Grand total  Bachelor's degree),Asian total - new (C2010_A  First major  Grand total  Bachelor's degree),Black or African American total - new (C2010_A  First major  Grand total  Bachelor's degree),Hispanic or Latino total - new (C2010_A  First major  Grand total  Bachelor's degree),White total - new (C2010_A  First major  Grand total  Bachelor's degree),Grand total (C2009_A  First major  Grand total  Associate's degree),Grand total men (C2009_A  First major  Grand total  Associate's degree),Grand total women (C2009_A  First major  Grand total  Associate's degree),Asian total - new (C2009_A  First major  Grand total  Associate's degree),White total - new (C2009_A  First major  Grand total  Associate's degree),Black or African American total - new (C2009_A  First major  Grand total  Associate's degree),Hispanic or Latino total - new (C2009_A  First major  Grand total  Associate's degree),Grand total (C2009_A  First major  Grand total  Bachelor's degree),Grand total men (C2009_A  First major  Grand total  Bachelor's degree),Grand total women (C2009_A  First major  Grand total  Bachelor's degree),Asian total - new (C2009_A  First major  Grand total  Bachelor's degree),White total - new (C2009_A  First major  Grand total  Bachelor's degree),Black or African American total - new (C2009_A  First major  Grand total  Bachelor's degree),Hispanic or Latino total - new (C2009_A  First major  Grand total  Bachelor's degree),Grand total (C2008_A  First major  Grand total  Associate's degree),Grand total men (C2008_A  First major  Grand total  Associate's degree),Grand total women (C2008_A  First major  Grand total  Associate's degree),Asian total - new (C2008_A  First major  Grand total  Associate's degree),White total - new (C2008_A  First major  Grand total  Associate's degree),Black or African American total - new (C2008_A  First major  Grand total  Associate's degree),Hispanic or Latino total - new (C2008_A  First major  Grand total  Associate's degree),Grand total (C2008_A  First major  Grand total  Bachelor's degree),Grand total men (C2008_A  First major  Grand total  Bachelor's degree),Grand total women (C2008_A  First major  Grand total  Bachelor's degree),Asian total - new (C2008_A  First major  Grand total  Bachelor's degree),White total - new (C2008_A  First major  Grand total  Bachelor's degree),Black or African American total - new (C2008_A  First major  Grand total  Bachelor's degree),Hispanic or Latino total - new (C2008_A  First major  Grand total  Bachelor's degree)
447935,ATA College,142,14,128,1,3,60,56,,,,,,,,141,9,132,1,3,85,44,,,,,,,,120,5,115,1,7,79,31,,,,,,,,171,10,161,4,3,109,49,,,,,,,,117,7,110,1,6,73,34,,,,,,,,74,4,70,,,,,,,,,,,,41,0,41,,,,,,,,,,,,3,0,3,,,,,,,,,,,
156286,Bellarmine University,,,,,,,,504,160,344,6,15,424,18,,,,,,,,601,201,400,12,24,495,25,,,,,,,,553,174,379,21,19,463,18,,,,,,,,538,180,358,11,17,450,18,,,,,,,,505,161,344,6,11,412,10,,,,,,,,395,125,270,11,10,6,309,,,,,,,,421,133,288,,,,,,,,,,,,461,133,328,,,,
157599,Brown Mackie College-Louisville,235,61,174,0,9,157,66,37,5,32,0,2,15,20,359,89,270,3,15,223,115,18,4,14,0,0,3,15,428,75,353,2,6,237,177,21,4,17,0,0,3,18,508,103,405,3,25,248,218,19,6,13,2,3,4,10,372,73,299,3,4,218,137,2,0,2,0,0,1,1,254,47,207,2,103,0,139,0,0,0,0,0,0,0,117,27,90,,,,,0,0,0,,,,,91,32,59,,,,,,,,,,,
406219,Daymar College-Louisville,28,7,21,0,1,17,8,3,1,2,0,0,1,1,55,7,48,0,1,32,20,6,1,5,0,0,1,3,105,22,83,2,4,45,44,5,2,3,0,0,3,1,139,35,104,1,2,62,64,6,3,3,0,0,1,5,129,19,110,1,3,69,45,,,,,,,,94,6,88,,,,,,,,,,,,50,10,40,,,,,,,,,,,,72,12,60,,,,,,,,,,,
460473,Daymar College-Louisville,3,0,3,0,0,1,2,,,,,,,,5,0,5,0,0,0,5,0,0,0,0,0,0,0,22,3,19,0,2,12,7,3,0,3,0,0,0,1,42,3,39,0,2,26,9,0,0,0,0,0,0,0,8,0,8,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458557,Daymar College-Online,49,5,44,0,1,28,9,24,3,21,0,4,12,3,67,6,61,0,3,44,7,13,1,12,0,2,6,0,54,5,49,0,2,32,5,7,1,6,0,0,4,0,27,2,25,0,1,17,1,6,1,5,0,0,2,0,14,4,10,0,0,14,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156648,Elizabethtown Community and Technical College,894,386,508,9,47,747,62,,,,,,,,836,327,509,10,33,708,60,,,,,,,,781,305,476,13,22,671,56,,,,,,,,829,292,537,10,34,708,46,,,,,,,,649,229,420,5,6,586,33,,,,,,,,527,187,340,,,,,,,,,,,,518,181,337,,,,,,,,,,,,447,155,292,,,,,,,,,,,
156471,Galen College of Nursing-Louisville,198,16,182,0,1,171,17,,,,,,,,205,19,186,0,2,171,11,,,,,,,,169,33,136,1,2,111,8,,,,,,,,218,41,177,3,3,172,13,,,,,,,,186,20,166,0,0,134,20,,,,,,,,151,10,141,,,,,,,,,,,,160,17,143,,,,,,,,,,,,,,,,,,,,,,,,,
150756,Hanover College,,,,,,,,243,113,130,1,2,204,12,,,,,,,,228,106,122,0,4,192,10,,,,,,,,221,99,122,2,4,185,7,,,,,,,,232,89,143,4,6,199,3,,,,,,,,173,70,103,2,0,154,2,,,,,,,,163,88,75,2,1,1,144,,,,,,,,210,92,118,,,,,,,,,,,,271,124,147,,,,
151379,Indiana University-Southeast,59,30,29,2,3,48,2,864,318,546,16,14,764,39,73,36,37,1,3,64,2,840,311,529,13,26,722,47,81,41,40,2,3,70,5,832,300,532,10,17,747,31,74,31,43,0,2,63,5,773,290,483,11,21,669,40,90,35,55,1,2,81,2,729,276,453,10,14,619,42,76,36,40,3,5,1,67,647,226,421,9,30,6,581,102,39,63,,,,,649,221,428,,,,,98,38,60,,,,,664,218,446,,,,
413857,ITT Technical Institute-Louisville,132,94,38,3,3,92,26,8,8,0,0,0,6,2,179,115,64,0,8,127,34,22,19,3,0,0,15,5,168,135,33,4,3,123,29,47,41,6,0,2,34,10,225,179,46,2,3,147,25,40,31,9,0,3,25,4,236,191,45,2,9,155,29,58,46,12,0,0,46,11,166,131,35,0,14,0,0,67,49,18,0,6,0,0,150,119,31,0,0,15,0,38,29,9,0,0,4,0,139,122,17,0,0,15,0,19,19,0,0,0,5,0
156921,Jefferson Community and Technical College,1398,483,915,53,48,1077,171,,,,,,,,1334,467,867,33,48,1053,142,,,,,,,,1122,387,735,23,30,853,159,,,,,,,,1080,392,688,16,33,822,159,,,,,,,,955,404,551,22,12,745,127,,,,,,,,883,341,542,,,,,,,,,,,,933,312,621,,,,,,,,,,,,869,310,559,,,,,,,,,,,
442897,Ottawa University-Jeffersonville,,,,,,,,26,11,15,0,1,17,5,,,,,,,,35,14,21,0,0,13,0,,,,,,,,41,6,35,0,2,15,10,,,,,,,,43,14,29,0,2,22,16,,,,,,,,35,10,25,0,0,19,8,,,,,,,,38,10,28,,,,,,,,,,,,36,11,25,,,,,,,,,,,,19,3,16,,,,
157632,Saint Catharine College,49,6,43,0,1,47,1,101,39,62,0,3,83,12,59,10,49,1,0,57,1,75,25,50,0,1,65,8,77,13,64,0,2,68,4,68,26,42,0,4,53,10,93,15,78,0,1,83,7,74,27,47,2,2,61,7,64,9,55,0,1,61,1,56,25,31,0,0,51,5,55,4,51,0,2,0,53,49,16,33,0,5,1,43,61,7,54,0,57,2,2,27,10,17,0,26,1,0,84,15,69,0,78,6,0,11,1,10,0,11,0,0
461759,Simmons College of Kentucky,9,2,7,0,0,0,9,4,1,3,0,0,0,4,7,2,5,0,0,0,7,1,1,0,0,0,0,1,2,1,1,0,0,0,2,1,0,1,0,0,0,1,2,1,1,0,0,0,2,4,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157757,Spalding University,1,0,1,0,0,0,1,269,92,177,1,14,189,52,3,1,2,0,0,1,2,243,43,200,2,7,166,45,1,0,1,0,0,0,1,227,53,174,3,4,155,52,1,1,0,0,0,0,0,220,46,174,1,5,146,47,3,2,1,0,0,2,1,178,33,145,3,3,101,49,2,0,2,,,,,172,35,137,,,,,4,1,3,,,,,172,32,140,,,,,6,1,5,,,,,180,31,149,,,,
